surface,station,airfoil,point,x_m,y_m,z_m
wing,4,sd7037,39,0.523167,0.999418,0.034242
wing,4,sd7037,40,0.528885,0.999415,0.034305
wing,4,sd7037,41,0.535109,0.99941,0.034439
wing,4,sd7037,42,0.54177,0.999403,0.03463
wing,4,sd7037,43,0.548792,0.999394,0.034865
wing,4,sd7037,44,0.556094,0.999385,0.035131
wing,4,sd7037,45,0.56359,0.999374,0.035419
wing,4,sd7037,46,0.571192,0.999363,0.035719
wing,4,sd7037,47,0.578814,0.999352,0.036021
wing,4,sd7037,48,0.586366,0.999341,0.036316
wing,4,sd7037,49,0.593761,0.99933,0.036596
wing,4,sd7037,50,0.600911,0.999321,0.036849
wing,4,sd7037,51,0.607732,0.999313,0.037064
wing,4,sd7037,52,0.614135,0.999307,0.037229
wing,4,sd7037,53,0.620031,0.999303,0.037339
wing,4,sd7037,54,0.625339,0.999301,0.037392
wing,4,sd7037,55,0.629979,0.999301,0.037389
wing,4,sd7037,56,0.633882,0.999303,0.037343
wing,4,sd7037,57,0.636987,0.999305,0.037269
wing,4,sd7037,58,0.639244,0.999308,0.037183
wing,4,sd7037,59,0.640618,0.999311,0.037113
wing,4,sd7037,60,0.641078,0.999312,0.037084
vtail,0,naca0009,0,1.497557,-7.2e-05,5.2e-05
vtail,0,naca0009,1,1.497551,-7.2e-05,5.2e-05
vtail,0,naca0009,2,1.497533,-7.4e-05,5.3e-05
vtail,0,naca0009,3,1.497504,-7.6e-05,5.5e-05
vtail,0,naca0009,4,1.497464,-8e-05,5.8e-05
vtail,0,naca0009,5,1.497411,-8.4e-05,6.1e-05
vtail,0,naca0009,6,1.497347,-9e-05,6.5e-05
vtail,0,naca0009,7,1.497271,-9.6e-05,6.9e-05
vtail,0,naca0009,8,1.497184,-0.000103,7.5e-05
vtail,0,naca0009,9,1.497085,-0.000112,8.1e-05
vtail,0,naca0009,10,1.496975,-0.000121,8.8e-05
vtail,0,naca0009,11,1.496853,-0.000131,9.5e-05
vtail,0,naca0009,12,1.49672,-0.000143,0.000103
vtail,0,naca0009,13,1.496575,-0.000155,0.000112
vtail,0,naca0009,14,1.496418,-0.000168,0.000122
vtail,0,naca0009,15,1.496251,-0.000182,0.000132
vtail,0,naca0009,16,1.496072,-0.000197,0.000143
vtail,0,naca0009,17,1.495881,-0.000213,0.000154
vtail,0,naca0009,18,1.49568,-0.00023,0.000166
vtail,0,naca0009,19,1.495467,-0.000247,0.000179
vtail,0,naca0009,20,1.495243,-0.000266,0.000192
vtail,0,naca0009,21,1.495008,-0.000285,0.000207
vtail,0,naca0009,22,1.494762,-0.000306,0.000221
vtail,0,naca0009,23,1.494505,-0.000327,0.000236
vtail,0,naca0009,24,1.494237,-0.000349,0.000252
vtail,0,naca0009,25,1.493959,-0.000371,0.000269
vtail,0,naca0009,26,1.493669,-0.000395,0.000286
vtail,0,naca0009,27,1.493369,-0.000419,0.000303
